id,category,question,answer
30,placements,Which companies visit the campus for recruitment?,"Companies such as Infosys, Wipro, TCS, Cognizant, Accenture, IBM, Amazon, Flipkart, HCL, Tech Mahindra, and many others visit the campus regularly."
31,placements,What is the highest package offered on campus?,The highest package varies each year and has gone beyond ₹30 LPA in certain engineering and computer science programs.
32,placements,What is the average package for B.Tech graduates?,"The average package for B.Tech graduates typically ranges between ₹4 LPA and ₹6 LPA, depending on the branch and market trends."
33,placements,Does the university provide placement training?,"Yes, dedicated placement training including aptitude sessions, soft skills training, technical workshops, and mock interviews is provided to students."
34,placements,Is internship support provided by the university?,The Career Services department assists students in securing internships with industry partners as part of their academic and career development.
35,academics,What is the academic structure followed by the university?,The university follows a semester-based academic structure with continuous internal assessment and end-semester examinations.
36,academics,What is the minimum attendance requirement?,Students are required to maintain a minimum of 75% attendance in each course to be eligible for appearing in end-semester examinations.
37,academics,Does the university follow a choice-based credit system?,"Yes, a choice-based credit system (CBCS) is followed that allows students to choose electives and interdisciplinary courses."
38,academics,Are laboratory sessions compulsory?,"Yes, all scheduled laboratory sessions are compulsory and form an essential part of the continuous assessment."
39,academics,Does the university offer value-added or certification courses?,"Yes, various value-added, add-on, and industry certification courses are offered to enhance the skills and employability of students."
40,academics,What is the grading system used?,The university uses a letter-grade based grading system with grade points to calculate semester and cumulative grade point averages.
41,scholarship,What types of scholarships are available?,"Scholarships are offered based on academic merit, performance in entrance exams, sports achievements, and for students from economically weaker sections."
42,scholarship,How can I apply for a scholarship?,"Students can apply for scholarships at the time of admission by submitting relevant documents, or later through the scholarship portal as per notifications."
43,scholarship,Are scholarships renewed every year?,"Most scholarships are renewable each year, subject to the student maintaining a specified CGPA and satisfactory conduct."
44,scholarship,Can a student avail more than one scholarship?,"Generally, a student can avail only one major scholarship at a time; however, this is subject to the specific rules of the scholarship scheme."
45,exam,How are internal assessments conducted?,"Internal assessments include class tests, quizzes, assignments, presentations, and practical evaluations conducted throughout the semester."
46,exam,When are end-semester exams held?,End-semester examinations are usually conducted at the end of each semester as per the academic calendar notified by the university.
47,exam,What happens if a student misses an exam?,"If a student misses an exam due to genuine reasons such as medical emergencies, they may apply for a makeup exam as per university rules."
48,exam,Are re-evaluation or rechecking options available?,"Yes, students can apply for re-evaluation or rechecking of answer scripts within the stipulated time frame by paying the prescribed fee."
49,general,Where is Galgotias University located?,"Galgotias University is located on the Yamuna Expressway near the Buddh International Circuit in Greater Noida, Uttar Pradesh, India."
50,general,What are the main contact details of the university?,"The main contact details including phone numbers, email addresses, and enquiry form are available on the Contact Us section of the official website."
51,general,Does the campus have Wi-Fi facilities?,"Yes, the campus is Wi-Fi enabled and students can access internet facilities in academic blocks, hostels, and common areas."
52,general,What co-curricular activities are available?,"Various technical clubs, cultural societies, sports teams, and hobby groups conduct regular events, competitions, and workshops on campus."
53,general,Does the university organize annual fests?,"Yes, the university organizes annual technical and cultural fests, sports meets, and other large-scale student events."
54,library,What facilities are available in the central library?,"The central library offers a large collection of books, journals, e-resources, digital library access, reading halls, and reference services."
55,library,What are the library timings?,"Library timings are usually from morning to late evening on working days, with special hours during examinations."
56,library,Can students access e-resources from outside the campus?,Certain e-resources and databases can be accessed off-campus using remote login credentials provided to students.
57,health,Is medical facility available on campus?,"Yes, an on-campus medical center with qualified doctors and nursing staff is available to provide basic healthcare services to students and staff."
58,health,Does the university have tie-ups with hospitals?,The university has tie-ups with nearby multispecialty hospitals for advanced medical treatment in case of emergencies.
59,health,Are there any counseling services for students?,"Yes, the university provides counseling and mentoring services to support the emotional and psychological well-being of students."
