id,category,question,answer
54,fees,What is the annual fee for B.Com (Hons)?,The annual academic fee for B.Com (Hons) is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
55,fees,Are there any additional charges for B.Com (Hons)?,"In addition to tuition fees for B.Com (Hons), students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
56,fees,What is the annual fee for B.Sc (Biotech)?,The annual academic fee for B.Sc (Biotech) is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
57,fees,Are there any additional charges for B.Sc (Biotech)?,"In addition to tuition fees for B.Sc (Biotech), students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
58,fees,What is the annual fee for LLB?,The annual academic fee for LLB is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
59,fees,Are there any additional charges for LLB?,"In addition to tuition fees for LLB, students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
60,fees,What is the annual fee for BA LLB?,The annual academic fee for BA LLB is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
61,fees,Are there any additional charges for BA LLB?,"In addition to tuition fees for BA LLB, students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
62,fees,What is the annual fee for B.Pharm?,The annual academic fee for B.Pharm is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
63,fees,Are there any additional charges for B.Pharm?,"In addition to tuition fees for B.Pharm, students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
64,fees,What is the annual fee for M.Tech CSE?,The annual academic fee for M.Tech CSE is decided by the university and is updated every academic year. It typically includes tuition and academic charges but excludes hostel and transport fees.
65,fees,Are there any additional charges for M.Tech CSE?,"In addition to tuition fees for M.Tech CSE, students may need to pay examination fees, registration fees, and other applicable charges as per the fee structure."
66,hostel,Is hostel facility available for boys students?,"Yes, hostel facility is available for boys students with options for AC and non-AC rooms, subject to availability."
67,hostel,What are the hostel rules at Galgotias University?,"Hostel rules include fixed entry timings, attendance, code of conduct, and guidelines for visitors to ensure safety and discipline."
68,hostel,Is hostel facility available for girls students?,"Yes, hostel facility is available for girls students with options for AC and non-AC rooms, subject to availability."
69,hostel,What are the hostel rules at Galgotias University?,"Hostel rules include fixed entry timings, attendance, code of conduct, and guidelines for visitors to ensure safety and discipline."
70,placements,What is the placement record for B.Tech CSE?,"The placement record for B.Tech CSE is strong, with many students placed in reputed companies through on-campus recruitment drives."
71,placements,Which companies recruit B.Tech CSE students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Tech CSE students."
72,placements,What is the placement record for B.Tech ECE?,"The placement record for B.Tech ECE is strong, with many students placed in reputed companies through on-campus recruitment drives."
73,placements,Which companies recruit B.Tech ECE students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Tech ECE students."
74,placements,What is the placement record for B.Tech ME?,"The placement record for B.Tech ME is strong, with many students placed in reputed companies through on-campus recruitment drives."
75,placements,Which companies recruit B.Tech ME students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Tech ME students."
76,placements,What is the placement record for BBA?,"The placement record for BBA is strong, with many students placed in reputed companies through on-campus recruitment drives."
77,placements,Which companies recruit BBA students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for BBA students."
78,placements,What is the placement record for BCA?,"The placement record for BCA is strong, with many students placed in reputed companies through on-campus recruitment drives."
79,placements,Which companies recruit BCA students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for BCA students."
80,placements,What is the placement record for MBA?,"The placement record for MBA is strong, with many students placed in reputed companies through on-campus recruitment drives."
81,placements,Which companies recruit MBA students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for MBA students."
82,placements,What is the placement record for MCA?,"The placement record for MCA is strong, with many students placed in reputed companies through on-campus recruitment drives."
83,placements,Which companies recruit MCA students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for MCA students."
84,placements,What is the placement record for B.Com (Hons)?,"The placement record for B.Com (Hons) is strong, with many students placed in reputed companies through on-campus recruitment drives."
85,placements,Which companies recruit B.Com (Hons) students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Com (Hons) students."
86,placements,What is the placement record for B.Sc (Biotech)?,"The placement record for B.Sc (Biotech) is strong, with many students placed in reputed companies through on-campus recruitment drives."
87,placements,Which companies recruit B.Sc (Biotech) students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Sc (Biotech) students."
88,placements,What is the placement record for LLB?,"The placement record for LLB is strong, with many students placed in reputed companies through on-campus recruitment drives."
89,placements,Which companies recruit LLB students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for LLB students."
90,placements,What is the placement record for BA LLB?,"The placement record for BA LLB is strong, with many students placed in reputed companies through on-campus recruitment drives."
91,placements,Which companies recruit BA LLB students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for BA LLB students."
92,placements,What is the placement record for B.Pharm?,"The placement record for B.Pharm is strong, with many students placed in reputed companies through on-campus recruitment drives."
93,placements,Which companies recruit B.Pharm students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for B.Pharm students."
94,placements,What is the placement record for M.Tech CSE?,"The placement record for M.Tech CSE is strong, with many students placed in reputed companies through on-campus recruitment drives."
95,placements,Which companies recruit M.Tech CSE students?,"Companies from IT, consulting, core engineering, finance, and other sectors participate in placements for M.Tech CSE students."
96,general,Where is Galgotias University located?,"Galgotias University is located on the Yamuna Expressway near the Buddh International Circuit in Greater Noida, Uttar Pradesh, India."
97,general,Does the university have Wi-Fi enabled campus?,"Yes, the campus is Wi-Fi enabled and students can access internet facilities in academic blocks, hostels, and common areas."
98,exam,How are internal exams conducted at Galgotias University?,"Internal exams are conducted periodically and may include quizzes, mid-semester tests, assignments, practical exams, and viva-voce."
99,scholarship,Are scholarships available for meritorious students?,"Yes, scholarships are available for meritorious students based on academic performance, entrance exam scores, and other criteria notified by the university."
100,library,What facilities does the central library provide?,"The central library provides access to books, journals, e-resources, digital databases, reading halls, and reference services."
101,transport,Does the university provide bus transport?,"Yes, the university operates bus services on multiple routes connecting the campus with different parts of Delhi NCR."
102,admission,General query number 102 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-102)
103,fees,General query number 103 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-103)
104,hostel,General query number 104 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-104)
105,placements,General query number 105 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-105)
106,academics,General query number 106 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-106)
107,exam,General query number 107 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-107)
108,scholarship,General query number 108 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-108)
109,general,General query number 109 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-109)
110,library,General query number 110 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-110)
111,transport,General query number 111 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-111)
112,health,General query number 112 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-112)
113,admission,General query number 113 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-113)
114,fees,General query number 114 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-114)
115,hostel,General query number 115 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-115)
116,placements,General query number 116 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-116)
117,academics,General query number 117 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-117)
118,exam,General query number 118 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-118)
119,scholarship,General query number 119 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-119)
120,general,General query number 120 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-120)
121,library,General query number 121 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-121)
122,transport,General query number 122 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-122)
123,health,General query number 123 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-123)
124,admission,General query number 124 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-124)
125,fees,General query number 125 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-125)
126,hostel,General query number 126 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-126)
127,placements,General query number 127 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-127)
128,academics,General query number 128 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-128)
129,exam,General query number 129 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-129)
130,scholarship,General query number 130 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-130)
131,general,General query number 131 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-131)
132,library,General query number 132 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-132)
133,transport,General query number 133 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-133)
134,health,General query number 134 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-134)
135,admission,General query number 135 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-135)
136,fees,General query number 136 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-136)
137,hostel,General query number 137 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-137)
138,placements,General query number 138 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-138)
139,academics,General query number 139 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-139)
140,exam,General query number 140 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-140)
141,scholarship,General query number 141 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-141)
142,general,General query number 142 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-142)
143,library,General query number 143 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-143)
144,transport,General query number 144 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-144)
145,health,General query number 145 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-145)
146,admission,General query number 146 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-146)
147,fees,General query number 147 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-147)
148,hostel,General query number 148 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-148)
149,placements,General query number 149 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-149)
150,academics,General query number 150 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-150)
151,exam,General query number 151 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-151)
152,scholarship,General query number 152 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-152)
153,general,General query number 153 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-153)
154,library,General query number 154 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-154)
155,transport,General query number 155 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-155)
156,health,General query number 156 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-156)
157,admission,General query number 157 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-157)
158,fees,General query number 158 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-158)
159,hostel,General query number 159 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-159)
160,placements,General query number 160 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-160)
161,academics,General query number 161 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-161)
162,exam,General query number 162 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-162)
163,scholarship,General query number 163 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-163)
164,general,General query number 164 regarding general at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: GENERAL-164)
165,library,General query number 165 regarding library at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: LIBRARY-165)
166,transport,General query number 166 regarding transport at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: TRANSPORT-166)
167,health,General query number 167 regarding health at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HEALTH-167)
168,admission,General query number 168 regarding admission at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ADMISSION-168)
169,fees,General query number 169 regarding fees at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: FEES-169)
170,hostel,General query number 170 regarding hostel at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: HOSTEL-170)
171,placements,General query number 171 regarding placements at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: PLACEMENTS-171)
172,academics,General query number 172 regarding academics at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: ACADEMICS-172)
173,exam,General query number 173 regarding exam at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: EXAM-173)
174,scholarship,General query number 174 regarding scholarship at Galgotias University.,This information is governed by university policies and is updated from time to time. Students are advised to refer to the official Galgotias University website or contact the admissions office for the latest details. (Reference code: SCHOLARSHIP-174)
